id;Name;TECNOLOGIA;RAPIDEZ;ALTITUDE;TEMPO;rxlevel_4G;x_;y_
1;-80 4G;4G;0 km/h;929m;2023.08.22_10.34.13;-80;-44.2226079;-21.0918169
2;-80 4G;4G;0 km/h;931m;2023.08.22_10.34.13;-80;-44.2225981;-21.0918637
3;-87 4G;4G;14 km/h;930m;2023.08.22_10.34.25;-87;-44.222628;-21.0919773
4;-83 4G;4G;17 km/h;928m;2023.08.22_10.34.28;-83;-44.222679;-21.0920881
5;-82 4G;4G;21 km/h;927m;2023.08.22_10.34.30;-82;-44.2227271;-21.0921838
6;-83 4G;4G;24 km/h;926m;2023.08.22_10.34.32;-83;-44.2227762;-21.0922918
7;-83 4G;4G;24 km/h;925m;2023.08.22_10.34.34;-83;-44.2228272;-21.0924037
8;-90 4G;4G;25 km/h;924m;2023.08.22_10.34.37;-90;-44.2228846;-21.0925229
9;-90 4G;4G;27 km/h;923m;2023.08.22_10.34.39;-90;-44.2229463;-21.0926465
10;-94 4G;4G;30 km/h;922m;2023.08.22_10.34.41;-94;-44.2230181;-21.0927789
11;-92 4G;4G;32 km/h;921m;2023.08.22_10.34.43;-92;-44.223094;-21.09292
12;-92 4G;4G;33 km/h;921m;2023.08.22_10.34.45;-92;-44.2231704;-21.0930686
13;-90 4G;4G;35 km/h;920m;2023.08.22_10.34.47;-90;-44.2232499;-21.0932318
14;-91 4G;4G;36 km/h;919m;2023.08.22_10.34.48;-91;-44.2232918;-21.0933151
15;-91 4G;4G;38 km/h;919m;2023.08.22_10.34.49;-91;-44.2233365;-21.0934034
16;-89 4G;4G;39 km/h;918m;2023.08.22_10.34.50;-89;-44.2233825;-21.0934963
17;-89 4G;4G;40 km/h;917m;2023.08.22_10.34.51;-89;-44.2234296;-21.0935895
18;-89 4G;4G;41 km/h;917m;2023.08.22_10.34.51;-89;-44.2234764;-21.0936839
19;-84 4G;4G;41 km/h;917m;2023.08.22_10.34.53;-84;-44.2235231;-21.0937768
20;-84 4G;4G;40 km/h;916m;2023.08.22_10.34.53;-84;-44.2235693;-21.09387
21;-84 4G;4G;39 km/h;916m;2023.08.22_10.34.55;-84;-44.2236137;-21.0939588
22;-81 4G;4G;36 km/h;916m;2023.08.22_10.34.56;-81;-44.2236549;-21.094042
23;-84 4G;4G;32 km/h;916m;2023.08.22_10.34.58;-84;-44.2237336;-21.0941918
24;-84 4G;4G;32 km/h;916m;2023.08.22_10.35.00;-84;-44.2238072;-21.0943386
25;-82 4G;4G;33 km/h;917m;2023.08.22_10.35.02;-82;-44.2238823;-21.0944908
